Nome;N� mecanografico;Email;C�digo da UC;Unidade Curricular;G�nero;Regimes especiais de frequ�ncia;Ano Curricular 
João Mendes;200000;a200000@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Ana Soares;200001;a200001@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
Pedro Silva;200002;a200002@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;TE;3
Carla Costa;200003;a200003@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Tiago Martins;200004;a200004@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Mariana Lopes;200005;a200005@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;AUM;3
Rui Fernandes;200006;a200006@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Beatriz Figueiredo;200007;a200007@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Carlos Alves;200008;a200008@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Sara Marques;200009;a200009@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
Paulo Ribeiro;200010;a200010@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;DLG;3
Clara Oliveira;200011;a200011@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Luis Gomes;200012;a200012@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Joana Santos;200013;a200013@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
Bruno Ferreira;200014;a200014@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;AUM;3
Inês Araújo;200015;a200015@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Victor Lima;200016;a200016@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Raquel Nunes;200017;a200017@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
John Smith;200018;a200018@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Emily Johnson;200019;a200019@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
James Miller;200020;a200020@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Daniel Costa;200021;a200021@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Michael Brown;200022;a200022@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Hugo Fernandes;200023;a200023@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Alexandre Gomes;200024;a200024@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
